sd,pd,os,bs,target_co_simplified,target_pr_simplified
architecture can be duplicated while transition,Capella,Windows 10,VERIFIED,Transition,P4
transitions locks are not released after a merge then cancel,Capella,Windows 10,VERIFIED,Transition,P4
transitions for scenarios with multiple instanceroles for identical represented instances,Capella,All,CLOSED,Transition,P3
new accelerator initiate scenario from a functional chain,Capella,All,VERIFIED,Transition,P3
consider existing provided/required interfaces in accelerator,Capella,All,CLOSED,Transition,P3
npe while transitioning from diagrams,Capella,Windows 10,VERIFIED,Transition,P3
add the ability to transition new functional chain concepts,Capella,Windows 10,VERIFIED,Transition,P3
the transition from functional chain to functional scenario does not work with composite chains,Capella,Windows 10,VERIFIED,Transition,P3
transition actor in activity explorer,Capella,Windows 10,VERIFIED,Transition,P3
transition of lc to pc take into account actors since they are components now,Capella,All,VERIFIED,Transition,P3
transition from oa to sa using libraries,Capella,Windows 10,VERIFIED,Transition,P1
transition of communication mean is propagated unset,Capella,All,VERIFIED,Transition,P3
transition of pl and ce are not stored to the correct location,Capella,Windows 10,VERIFIED,Transition,P4
elements description edition,Capella,All,RESOLVED,UI,P2
menu transition not visible when right click on [es] diagram but visible in ma explorer,Capella,All,RESOLVED,UI,P3
error popup at startup on linux platform,Capella,Linux,RESOLVED,UI,P3
npe when browsing interfaces in sequence message creation wizard,Capella,All,VERIFIED,UI,P2
capella displays parts with a wrong icon in the project explorer,Capella,All,RESOLVED,UI,P3
error popup at startup on linux platform,Capella,Linux,RESOLVED,UI,P3
elements description edition,Capella,All,RESOLVED,UI,P2
epbs part and configurationitem are not synchronized in properties view,Capella,All,CLOSED,UI,P2
[semantic browser] typo error,Capella,All,RESOLVED,UI,P3
capella disables some eclipse capabilities on start,Capella,All,RESOLVED,UI,P3
[performance] information view performance degrades with many log messages,Capella,All,RESOLVED,UI,P3
information view errors on invalid basicdiagnostic,Capella,Windows 10,RESOLVED,UI,P3
avoid concurrent transaction through projectexplorer on reloaded resource event,Capella,Windows 10,RESOLVED,UI,P3
filter action in capella overview,Capella,All,RESOLVED,UI,P3
semantic browser history goes wrong,Capella,Windows 10,RESOLVED,UI,P3
integration of amalgam.explorer.activity into capella,Capella,Windows 10,RESOLVED,UI,P4
dead lock on refresh on activityexplorer,Capella,All,RESOLVED,UI,P4
opensessionaction do not use the preference defined in activity explorer,Capella,Windows 10,VERIFIED,UI,P3
[concurrentmodificationexception] an error occured when adding a lib reference or connect to remote model,Capella,Windows 10,RESOLVED,UI,P3
"in capellanavigatorcontentprovider, getparent is not consistent with getchildren",Capella,All,RESOLVED,UI,P3
[activity explorer] capella overview page is not predicated,Capella,All,VERIFIED,UI,P3
add junit tests for the activityexplorer,Capella,Windows 10,VERIFIED,UI,P3
open/open with... menu is missing from capella project explorer,Capella,Windows 10,RESOLVED,UI,P3
"classcastexception when selecting any element in ""representations per category""",Capella,All,RESOLVED,UI,P3
(regression) running a command through activity explorer on a project p1 deals with the second session opened p2,Capella,Windows 10,RESOLVED,UI,P3
copyright is invalid,Capella,All,RESOLVED,UI,P3
new activity explorer integration (1.7.0-n20160223-072152) for bug 487984 + new auto test case,Capella,All,RESOLVED,UI,P3
semantic browser / state machine,Capella,All,VERIFIED,UI,P3
multiselection property editor,Capella,Windows 10,CLOSED,UI,P3
"select diagram in project explorer when ""link with editor"" is enabled loses project explorer focus",Capella,Windows 10,CLOSED,UI,P3
"""error while modifying model"" in activity explorer when clicking on ""[oas] create a new operational activity scenario""",Capella,All,VERIFIED,UI,P3
inconsistent naming for new physical components,Capella,Windows 10,RESOLVED,UI,P3
distinguished icons for physical component natures unset vs behavior,Capella,Windows 10,RESOLVED,UI,P3
"""add capella element"" menu is not complete",Capella,All,RESOLVED,UI,P3
[regression][mars] migration menus are always visible,Capella,Windows 10,VERIFIED,UI,P3
"[activity explorer] define actor, mission capabilities diagram filter",Capella,All,RESOLVED,UI,P3
hide metadata elements,Capella,All,RESOLVED,UI,P3
"[regression mars] menu ""show impact analysis"" is visible but not enabled when right-clicking on a diagram's background",Capella,All,RESOLVED,UI,P3
[regression][mars] richtext font selection comboboxes height is too small,Capella,All,VERIFIED,UI,P2
"reworking on [regression mars] menu ""show impact analysis"" is visible but not enabled when right-clicking on a diagram's background",Capella,All,RESOLVED,UI,P3
classcastexception when opening progress->metrics... menu,Capella,All,RESOLVED,UI,P3
improve exception handling at opening session,Capella,All,RESOLVED,UI,P4
[afm] disable .afm filter by default in capella project explorer,Capella,All,VERIFIED,UI,P3
intermodel.preventdependencyviolation.allowed preference should be set by default,Capella,All,RESOLVED,UI,P3
new project viewpoint selection is discarded when last page is configuration project reference page,Capella,All,RESOLVED,UI,P3
capella business copy paste is supported only xmlresource,Capella,Windows 10,RESOLVED,UI,P4
capella migration menu is shown in invalid contexts,Capella,Windows 10,RESOLVED,UI,P3
"""send to fast linker view"" menu should not be shown when selection is empty",Capella,Windows 10,RESOLVED,UI,P3
some graphical enhancements,Capella,All,RESOLVED,UI,P4
enable open actions for external files,Capella,All,RESOLVED,UI,P4
"application freeze (""not responding"") launching ""compare as models"" on aird files and trying to close ""compare"" editor",Capella,Windows 10,VERIFIED,UI,P4
link with editor should highlight selected semantic elements in project explorer,Capella,Windows 10,CLOSED,UI,P3
undoing a multi-selection quickfix requires several undo actions,Capella,Windows 10,CLOSED,UI,P3
order of elements added to reference via properties view/transfer viewer is random,Capella,Windows 10,CLOSED,UI,P3
abstracttransferviewer2: incorrect enablement state of add and remove buttons,Capella,All,VERIFIED,UI,P3
[obfuscate model] running obfuscation results in unusable model,Capella,Windows 10,VERIFIED,UI,P3
information view messages order not predictable,Capella,Windows 10,CLOSED,UI,P3
link information view selection to semantic browser,Capella,All,CLOSED,UI,P3
"remove the technical command ""fix custom features""",Capella,All,RESOLVED,UI,P3
add option to clear information view before transition start,Capella,All,CLOSED,UI,P3
add show in diagram/projectexplorer/semanticbrowser actions for validation rule result,Capella,All,CLOSED,UI,P3
semantic browser does not show interfaces for incoming ports in referencing elements view,Capella,All,RESOLVED,UI,P3
capella/delete preferences are empty,Capella,Windows 10,VERIFIED,UI,P4
nebula richtext integration in capella,Capella,All,RESOLVED,UI,P3
remove unused method movehelper.canmoveinto(),Capella,All,CLOSED,UI,P3
ability to move elements into a library,Capella,All,VERIFIED,UI,P3
"pattern, rec/rpl, show qualified name, modelling accelerators appear in all popup menus",Capella,All,RESOLVED,UI,P3
selectlistrenderer should dispose created colors,Capella,All,RESOLVED,UI,P3
double-clicking on an element should not fold/unfold it's sub-element,Capella,Windows 10,RESOLVED,UI,P4
[releng] bump to 1.2.0,Capella,All,RESOLVED,UI,P4
double click shall not reveal/unreveal element,Capella,Windows 10,CLOSED,UI,P4
add a message at end of migration,Capella,Windows 10,VERIFIED,UI,P4
try to adapt the selection to eobject in siriusselectionhelper,Capella,All,RESOLVED,UI,P3
move elements view shall be moved into incubation section,Capella,Windows 10,VERIFIED,UI,P4
impossible to retrieve project explorer tree when a first search has matched in regex,Capella,All,VERIFIED,UI,P3
npe when right-click users.userprofile in capella explorer,Capella,All,VERIFIED,UI,P3
project explorer - searching by id,Capella,Windows 10,RESOLVED,UI,P3
[flexi] set property value only once in optionrenderer,Capella,All,VERIFIED,UI,P3
[flexi] propertycontext should only notify listeners if property value really changes,Capella,All,VERIFIED,UI,P3
transfer view should not auto-expand progress status element in destination view,Capella,All,CLOSED,UI,P3
some preferences are reset to default at restart,Capella,Windows 10,VERIFIED,UI,P4
add 'log information' button to error log,Capella,Windows 10,VERIFIED,UI,P4
small performance enhancement on category retrieval,Capella,Windows 10,VERIFIED,UI,P4
"double-click on diagram from ""representations per category"" should not change selection",Capella,Windows 10,CLOSED,UI,P3
simplify metricaction#updateselection(istructuredselection),Capella,Windows 10,VERIFIED,UI,P3
refactor new project wizards to use new api,Capella,All,CLOSED,UI,P3
issue with workflow ui when text scale is set to more than 100% in windows 10 screen preferences,Capella,Windows 10,CLOSED,UI,P3
add capella example menu import,Capella,Windows 10,VERIFIED,UI,P4
double click on an element shall not expand and open properties at the same time,Capella,Windows 10,VERIFIED,UI,P4
reduce rec/rpl usage to semantic elements only,Capella,Windows 10,VERIFIED,UI,P4
"with oxygen, some icons have a bad resolution in both diagrams and menus",Capella,Windows 10,VERIFIED,UI,P3
change capella migration due to sirius uid support,Capella,Windows 10,VERIFIED,UI,P4
drag-n-drop from dtable to mass views doesn't use semantic elements,Capella,Windows 10,VERIFIED,UI,P3
enhance mass actions menu,Capella,All,VERIFIED,UI,P3
provide better feedback in capella model explorer for invalid representation,Capella,Windows 10,VERIFIED,UI,P3
add an affected objects listener to the capella common navigator,Capella,All,RESOLVED,UI,P3
some exception are raised in case of invalid representation,Capella,Windows 10,RESOLVED,UI,P3
provide better feedback in capella model explorer for invalid representation,Capella,Windows 10,VERIFIED,UI,P3
massedition and massvisualization views show in contextual menu should propose only current session views,Capella,All,VERIFIED,UI,P3
"filter columns of mass visualization view propose two options (editing & expert), editing isn't correct",Capella,All,VERIFIED,UI,P3
mass edition view right click menu does not work sometimes,Capella,All,RESOLVED,UI,P3
npe in transferview when execute button is clicked,Capella,All,VERIFIED,UI,P3
add showin/sendto separators to transfer view viewers context menu,Capella,All,VERIFIED,UI,P3
remove unused nls constants for transfer view,Capella,All,VERIFIED,UI,P3
performance improvements on used treeviewer,Capella,Windows 10,VERIFIED,UI,P4
better support for representationdescriptors in information view,Capella,Windows 10,CLOSED,UI,P3
ability to display tree-structured log data in information view / log,Capella,All,CLOSED,UI,P3
performance enhancement for semantic browser view,Capella,All,VERIFIED,UI,P3
"markerviewtree should be replaced by standard tree, since the original eclipse bug was fixed",Capella,All,CLOSED,UI,P3
migrate popupmenu extensions to commands/menus/handlers,Capella,All,CLOSED,UI,P3
"fix ""workflow"" in capella activity explorer",Capella,Windows 10,VERIFIED,UI,P3
some big icons are missing,Capella,All,VERIFIED,UI,P3
refresh action on the semantic browser does not work,Capella,All,VERIFIED,UI,P3
"capella crashes when clicking in ""documentation link""",Capella,Linux,CLOSED,UI,P3
remove menu contribution for deferred diff/merge from capella,Capella,All,VERIFIED,UI,P3
missing project name validation,Capella,Linux,CLOSED,UI,P3
fix component/actor realization labels and icons,Capella,All,VERIFIED,UI,P3
add possibility to edit isactor and ishuman via properties view,Capella,All,VERIFIED,UI,P3
deletion of obsolete wiki pages,Capella,Windows 10,RESOLVED,Website,P3
404 error for legal hyperlinks at the bottom of each page of capella website,Capella,All,RESOLVED,Website,P3
broken link to the wiki,Capella,All,RESOLVED,Website,P3
broken link,Capella,All,RESOLVED,Website,P2
cant reach getstarted webpage,Capella,Windows 10,RESOLVED,Website,P3
bad link on http://polarsys.org/capella/download.html,Capella,All,RESOLVED,Website,P3
add compliancy with gdpr,Capella,Windows 10,RESOLVED,Website,P4
multiple selection for open diagram on semantic browser,Capella,Windows 10,CLOSED,UI,P4
[add-on] xml pivot export & import,Capella,All,RESOLVED,Other,P3
npe when project name contains spaces,Capella,Windows 10,RESOLVED,Other,P3
migrate xmlpivot to capella 1.0,Capella,All,RESOLVED,Other,P3
fix xml pivot failed test cases,Capella,All,RESOLVED,Other,P3
add semantic m2 documentation,Capella,All,RESOLVED,Other,P3
org.eclipse.emf.ecore.xmi.featurenotfoundexception: feature 'importorganizing' not found.,Capella,All,RESOLVED,Other,P3
generated plugin 'semantic.data.gen' is not up-to-date,Capella,All,RESOLVED,Other,P3
prepare xmlpivot 1.1 for capella 1.1,Capella,All,VERIFIED,Other,P3
installation fails on capella 1.0.2,Capella,All,RESOLVED,Other,P3
xmlpivot build tries to download juno build,Capella,All,RESOLVED,Other,P3
